CONTRACT,ITM_CAT,ITM_SELL
BARBUYS,A3,1.75
BARBUYS,A3K,21
BARBUYS,A11,1.8
BARBUYS,A11K,21.6
BARBUYS,A11LK,21.6
BARBUYS,A11LO,21.6
BARBUYS,A11WI,21.6
BARBUYS,A6A,1.8
BARBUYS,A6,13.2
BARBUYS,A10,1.8
BARBUYS,A10K,21.6
BARCITY,A10,1.8
BARCITY,A10K,21.6
BARCITY,A11,1.8
BARCITY,A11K,21.6
BARCITY,A11LK,21.6
BARCITY,A11LO,21.6
BARCITY,A11WI,21.6
BARCITY,A3,1.75
BARCITY,A3K,21
BARCITY,A6,14.4
DISDAVE,A2,4.95
DISDAVE,A2K,59.4
DISDAVE,A10,2.5
DISDAVE,A10K,30
DISDAVE,A11,2.5
DISDAVE,A11K,30
DISDAVE,A11LK,30
DISDAVE,A11LO,30
DISDAVE,A11WI,30
DISDAVE,A3,1.95
DISDAVE,A3K,23.4
DISDAVE,A6A,2.25
DOLSEN,A3,1.3
DOLSEN,A3K,15.6
DOLSEN,A11,1.5
DOLSEN,A11K,18
DOLSEN,A11LK,18
DOLSEN,A11LO,1.5
DOLSEN,A11WI,1.5
DOLSEN,A2,3.5
DOLSEN,A2K,42
DOLSEN,A10,1.3
DOLSEN,A10K,15.6
DOLSENMO,A11,1.85
DOLSENMO,A11K,22.2
DOLSENMO,A10,1.85
DOLSENMO,A10K,22.2
DOLSENMO,A6A,1.99
JUSCRABAR,A10,1.8
JUSCRABAR,A10K,21.6
JUSCRABAR,A11,1.8
JUSCRABAR,A11K,21.6
JUSCRABAR,A11LK,21.6
JUSCRABAR,A11LO,21.6
JUSCRABAR,A11WI,21.6
JUSCRABAR,A2,3.5
JUSCRABAR,A2K,42
JUSCRABAR,A6,14.4
MADHOUSE,A3,1.95
MADHOUSE,A3K,23.4
MADHOUSE,A10,2
MADHOUSE,A10K,24
MADHOUSE,A11,2
MADHOUSE,A11K,24
MADHOUSE,A11LK,24
MADHOUSE,A11LO,24
MADHOUSE,A11WI,24
MADHOUSE,A6,15.6
MASTCONSG1,A10,1.8
MASTCONSG1,A11,1.8
MASTCONSG1,A2,4.5
MASTCONSG1,A3,1.75
MASTCONSG1,A6A,2.25
MASTCONSG1,A10K,21.6
MASTCONSG1,A11K,1.8
MASTCONSG1,A11LK,21.6
MASTCONSG1,A11LO,21.6
MASTCONSG1,A11WI,21.6
MASTCONSG1,A2K,54
MASTCONSG1,A3K,21
MASTCONSG2,A10,2.25
MASTCONSG2,A11,2.25
MASTCONSG2,A2,4.5
MASTCONSG2,A3,1.75
MASTCONSG2,A6A,2.25
MASTCONSG2,A10K,27
MASTCONSG2,A11K,2.25
MASTCONSG2,A11LK,27
MASTCONSG2,A11LO,27
MASTCONSG2,A11WI,27
MASTCONSG2,A2K,54
MASTCONSG2,A3K,21
MASTCONSG3,A10,2.5
MASTCONSG3,A11,2.5
MASTCONSG3,A2,4.5
MASTCONSG3,A3,1.75
MASTCONSG3,A6A,2.25
MASTCONSG3,A10K,30
MASTCONSG3,A11K,2.5
MASTCONSG3,A11LK,30
MASTCONSG3,A11LO,30
MASTCONSG3,A11WI,30
MASTCONSG3,A2K,54
MASTCONSG3,A3K,21
PRIBUS,A10,1.6
PRIBUS,A10K,19.2
PRIBUS,A11,1.6
PRIBUS,A11K,19.2
PRIBUS,A11LK,19.2
PRIBUS,A11LO,19.2
PRIBUS,A11WI,19.2
PRIBUS,A3,1.6
PRIBUS,A3K,19.2
PRIBUS,A6,11.88
RONDIS,A6,15.6
RONDIS,A6A,1.8
RONDIS,A10,1.8
RONDIS,A10K,1.8
RONDIS,A11,2.25
RONDIS,A11K,2.25
RONDIS,A3,1.75
RONDIS,A3K,1.75
RONDIS,A2,4.5
RONDIS,A2K,4.5
SAPUTRA,A6A,1.99
SAPUTRA,A2,3.95
SAPUTRA,A2K,47.4
SAPUTRA,A10,1.8
SAPUTRA,A10K,21.6
SAPUTRA,A11,1.8
SAPUTRA,A11K,21.6
SAPUTRA,A11LK,21.6
SAPUTRA,A11LO,21.6
SAPUTRA,A11WI,21.6
SIAPTYLTD,A10,2
SIAPTYLTD,A10K,24
SIAPTYLTD,A11,2
SIAPTYLTD,A11K,24
SIAPTYLTD,A11LK,24
SIAPTYLTD,A11LO,24
SIAPTYLTD,A11WI,24
SIAPTYLTD,A6,18
SIAPTYLTD,A3,1.8
SIAPTYLTD,A3K,21.6
SIAPTYLTD,A6A,2.25
SILSOL,A6,14.4
SILSOL,A6A,1.8
SILSOL,A11,1.5
SILSOL,A11K,18
SILSOL,A11LK,18
SILSOL,A11LO,18
SILSOL,A11WI,18
SILSOL,A10,1.5
SILSOL,A10K,18
SILSOL,A3,1.5
SILSOL,A3K,18
SILSOL,A2,2.5
SILSOL,A2K,30
SINDHIZ,A3,1.75
SINDHIZ,A3K,21
SINDHIZ,A10,1.8
SINDHIZ,A10K,21.6
SINDHIZ,A11,1.8
SINDHIZ,A11K,21.6
SINDHIZ,A11LK,21.6
SINDHIZ,A11LO,21.6
SINDHIZ,A11WI,21.6
SINDHIZ,A2,4.5
SINDHIZ,A2K,54
SINDHIZ,A6A,2.25
SMADOL,A6A,1.8
SMADOL,A6,15.6
SMADOL,A10,2.25
SMADOL,A10K,27
SMADOL,A11,2.25
SMADOL,A11K,27
SMADOL,A11LK,27
SMADOL,A11LO,27
SMADOL,A11WI,27
SMADOL,A3,1.75
SMADOL,A3K,21
SMADOL,A2,3.5
SMADOL,A2K,42
SPARECHANG,A10,1.6
SPARECHANG,A10K,19.2
SPARECHANG,A11,1.6
SPARECHANG,A11K,19.2
SPARECHANG,A11LK,19.2
SPARECHANG,A11LO,19.2
SPARECHANG,A11WI,19.2
SPARECHANG,A3,1.6
SPARECHANG,A3K,19.2
SPARECHANG,A6A,1.75
SYDENHAM,A10,2.5
SYDENHAM,A11,2.5
SYDENHAM,A2,4.5
SYDENHAM,A3,1.75
SYDENHAM,A6A,2.25
SYDENHAM,A10K,30
SYDENHAM,A11K,2.5
SYDENHAM,A11LK,30
SYDENHAM,A11LO,30
SYDENHAM,A11WI,30
SYDENHAM,A2K,54
SYDENHAM,A3K,21
TSGDES,A10,2.25
TSGDES,A10K,27
TSGDES,A11,2.25
TSGDES,A11K,27
TSGDES,A11LK,27
TSGDES,A11LO,27
TSGDES,A11WI,27
TSGDES,A2,4.5
TSGDES,A2K,54
TSGDES,A6A,2.25
UNITING,A11,1.8
UNITING,A11K,21.6
UNITING,A11LK,21.6
UNITING,A11LO,21.6
UNITING,A11WI,21.6
UNITING,A3,1.7
UNITING,A3K,20.4
UNITING,A6A,1.8
UNITING,A2,4.5
UNITING,A2K,54
UNITING,A10,1.8
UNITING,A10K,21.6
